,Scaled,N,Dimensions,K,Mean,Variance,abs_deviation_data,abs_deviation_eigv,rel_deviation_data,rel_deviation_eigv,time_16,time_32
0,True,100,10,3,0.0,1.0,0.00010439043398946524,0.00017257554281968623,0.000724174315109849,0.024790212512016296,0.0005840800586156547,0.0005759800551459193
1,False,100,10,3,0.0,1.0,5.514814347407082e-06,1.587965562066529e-05,0.011436200700700283,0.001784304971806705,0.000597180041950196,0.0008089200127869844
2,True,200,10,3,0.0,1.0,0.00011446317512309179,0.2604069113731384,2.0017309188842773,1.9981609582901,0.00056900002527982,0.0005602000164799392
3,False,200,10,3,0.0,1.0,3.0797622457612306e-05,1.6595660781604238e-05,0.0016923024086281657,0.010054300539195538,0.0005717399762943387,0.000617880024947226
4,True,500,10,3,0.0,1.0,0.0001945764961419627,0.00017002371896523982,0.003525207517668605,0.0007842938648536801,0.0005805199616588652,0.0005938999820500612
5,False,500,10,3,0.0,1.0,2.3398944904329255e-05,0.00036604070919565856,0.05261515825986862,0.004715760704129934,0.0005904000136069953,0.0005727600073441863
6,True,1000,10,3,0.0,1.0,0.00014322344213724136,0.19997254014015198,2.003082752227783,1.994186520576477,0.0005958600668236613,0.0005776800098828971
7,False,1000,10,3,0.0,1.0,1.3262839274830185e-05,0.0002709181571844965,0.005563464015722275,0.0021935999393463135,0.0005961600109003484,0.0005873200134374201
8,True,2000,10,3,0.0,1.0,3.757427475648001e-05,0.000535754777956754,0.0020983582362532616,0.0007017560419626534,0.0005752600263804197,0.0005756799946539104
9,False,2000,10,3,0.0,1.0,1.3442238923744299e-05,0.0001257577387150377,0.0022742305882275105,0.0002823431568685919,0.0005869599990546703,0.0005900799878872931
10,True,5000,10,3,0.0,1.0,0.0002990499488078058,9.61060359259136e-05,0.002825977047905326,0.000904271611943841,0.0005960799753665924,0.000577219994738698
11,False,5000,10,3,0.0,1.0,9.92983223113697e-06,0.0002354617026867345,0.0002628826186992228,0.002560622291639447,0.0005679200403392315,0.0005821799277327955
12,True,10000,10,3,0.0,1.0,4.2460760596441105e-05,0.012333981692790985,0.6624612212181091,0.6873586177825928,0.0006013999809511006,0.0005803999374620616
13,False,10000,10,3,0.0,1.0,1.3880411643185653e-05,0.010688448324799538,0.6553651690483093,0.6697536110877991,0.0005953599466010928,0.0005978000699542463
14,True,20000,10,3,0.0,1.0,3.084913987549953e-05,0.015312195755541325,0.6358988881111145,0.6570534706115723,0.0005971799255348742,0.0005618000286631286
15,False,20000,10,3,0.0,1.0,2.8055699658580124e-05,0.24183779954910278,1.9589343070983887,2.009274959564209,0.0006299199885688722,0.0005898400559090078
16,True,50000,10,3,0.0,1.0,3.876040136674419e-05,0.06685741990804672,1.342323899269104,1.3313816785812378,0.0006926200003363192,0.0005983399460092187
17,False,50000,10,3,0.0,1.0,4.729905413114466e-05,0.00804104469716549,0.6880391240119934,0.6679264903068542,0.0006927400245331228,0.0006126400548964739
18,True,100000,10,3,0.0,1.0,4.941644874634221e-05,0.2517459988594055,1.050957441329956,1.069003939628601,0.0007577599608339369,0.0006636399775743484
19,False,100000,10,3,0.0,1.0,4.598185114446096e-06,0.12080072611570358,4.4972100257873535,1.0307080745697021,0.0007997799548320472,0.0006941200117580593
20,True,200000,10,3,0.0,1.0,3.1975123420124874e-05,0.06422820687294006,0.6757218837738037,1.132588505744934,0.0012942999601364136,0.0008039400563575327
21,False,200000,10,3,0.0,1.0,1.3158975889382418e-05,0.06424187868833542,3.455566644668579,1.132556676864624,0.0012592599960044026,0.0007934799650683999
22,True,500000,10,3,0.0,1.0,0.00015009849448688328,0.009257165715098381,1.3046936988830566,0.8223578333854675,0.0022297201212495565,0.000982259982265532
23,False,500000,10,3,0.0,1.0,1.9183145923307166e-05,0.19072891771793365,1.7924087047576904,2.830155372619629,0.0022338200360536575,0.0010055999737232924
24,True,1000000,10,3,0.0,1.0,2.2859761884319596e-05,0.005669635720551014,0.7327328324317932,1.4527493715286255,0.0018987799994647503,0.0005781999789178371
25,False,1000000,10,3,0.0,1.0,2.971384674310684e-06,0.005582412239164114,0.7856115102767944,1.4529119729995728,0.0018845200538635254,0.0005829200381413102
26,True,2000000,10,3,0.0,1.0,0.00013356874114833772,0.24154755473136902,4.047280788421631,2.089564800262451,0.0034916000440716743,0.0007886800449341536
27,False,2000000,10,3,0.0,1.0,8.487451850669459e-06,0.24141079187393188,0.31212374567985535,2.153256416320801,0.00345699954777956,0.0008022399852052331
28,True,5000000,10,3,0.0,1.0,0.0002312518045073375,0.02719854563474655,1.1468682289123535,0.908704400062561,0.0032466398552060127,0.0005398800130933523
29,False,5000000,10,3,0.0,1.0,1.4325890333566349e-05,0.026276983320713043,2.024946689605713,0.9105431437492371,0.003255220130085945,0.0005449999589473009
30,True,10000000,10,3,0.0,1.0,0.00033665867522358894,0.07133592665195465,0.3742557764053345,1.2844001054763794,0.006381139624863863,0.000906340021174401
31,False,10000000,10,3,0.0,1.0,1.259599798686395e-06,0.07152362167835236,0.5322794914245605,1.2720657587051392,0.006364120170474052,0.0009172800346277654
32,True,100,10,3,0.0,4.0,0.00010201967234024778,0.00015351767069660127,0.00010230462066829205,8.889163837011438e-06,0.0005572399240918458,0.0005318199982866645
33,False,100,10,3,0.0,4.0,3.2653624657541513e-05,8.575649553677067e-05,0.007538908626884222,0.000539937405847013,0.0005529599729925394,0.0005649799713864923
34,True,200,10,3,0.0,4.0,0.0001752099924487993,5.798936035716906e-05,0.061146996915340424,0.0010911141289398074,0.0005430000019259751,0.0005297000170685351
35,False,200,10,3,0.0,4.0,0.0001532909373054281,5.3059931815369055e-05,0.15078753232955933,0.0035829541739076376,0.0005515199736692011,0.0005458400119096041
36,True,500,10,3,0.0,4.0,1.0846455552382395e-05,0.016726860776543617,0.6686245203018188,0.670543909072876,0.0005823399988003075,0.0005550200003199279
37,False,500,10,3,0.0,4.0,7.136026852094801e-06,0.25289228558540344,2.0002524852752686,1.998047113418579,0.0005858800141140819,0.0005863200058229268
38,True,1000,10,3,0.0,4.0,5.339344352250919e-05,0.00015075098781380802,0.010088304989039898,0.02099454775452614,0.0005657199653796852,0.0005636999849230051
39,False,1000,10,3,0.0,4.0,0.00011129760969197378,0.2771396040916443,1.3350646495819092,1.3229119777679443,0.0006028800271451473,0.0005911000189371407
40,True,2000,10,3,0.0,4.0,4.755554618895985e-05,0.0006356413359753788,0.007641793694347143,0.0007070946739986539,0.0005581799778155982,0.000556820014026016
41,False,2000,10,3,0.0,4.0,2.5008896045619622e-05,0.00041648076148703694,0.0016535676550120115,0.0022975581232458353,0.000576239952351898,0.0005764199886471033
42,True,5000,10,3,0.0,4.0,0.00012731793685816228,0.02230207994580269,1.3481409549713135,1.3379971981048584,0.0006025000475347042,0.0006135000730864704
43,False,5000,10,3,0.0,4.0,2.627360117912758e-05,0.22548899054527283,1.2879204750061035,1.333212971687317,0.0005811599548906088,0.0005810200236737728
44,True,10000,10,3,0.0,4.0,0.00020164404122624546,0.00039492451469413936,0.8792308568954468,0.005336737725883722,0.0005875799688510597,0.0005788799608126283
45,False,10000,10,3,0.0,4.0,4.8103334847837687e-05,0.007554026786237955,0.7951333522796631,0.6555514335632324,0.0005762999644502997,0.0005742000066675246
46,True,20000,10,3,0.0,4.0,2.1429061234812252e-05,0.24375194311141968,2.0096147060394287,2.0186069011688232,0.0006824399461038411,0.000658380042295903
47,False,20000,10,3,0.0,4.0,0.00022212829208001494,0.25086215138435364,2.2678089141845703,2.007056713104248,0.0006442199810408056,0.0006225199904292822
48,True,50000,10,3,0.0,4.0,3.939803355024196e-05,0.008288200944662094,0.6811347007751465,0.5955593585968018,0.0007154800114221871,0.0006386000895872712
